Amount,Broker_Status,Broker_Tier,Client_Risk_Rating,Credit_Score_2,Credit_Score_1,Current_Term_Months,Employment_Status_Borrower_2,Employment_Status,Global_Debt_Ratio,Interest_Rate,Loan_To_Value,Mortgage_Position,Mortgage_Purpose,Occupancy_Type,Property_Type,Self_Employed,Total_Debt_Service_Ratio,Approved
484935,Approved,Non Key Account,4,688,424,20,Pension,Hourly,12.4,8.42,33,1,Purchase,Rent To Own,Apartment High Rise,False,67.8,0.0
1099280,Approved,Key Account,3,573,812,36,Other,Contract,26.3,7.35,48,3,Purchase Rent to Own,Owner,Row,False,40.7,1.0
1352726,Approved,Non Key Account,4,424,681,15,Other,Salary,52.5,8.65,22,3,Refinance for Debt Consolidation,Rent To Own,Single,False,94.9,0.0
1473599,Approved,Key Account,4,658,865,28,Other,Hourly,19.4,8.78,41,1,Refinance,Rental,Semi-detached,False,26.3,1.0
454064,Approved,Key Account,4,797,747,18,Pension,Hourly,27.0,4.51,36,1,Purchase Rent to Own,Rent To Own,Single,False,72.1,1.0
878288,Watch List,Key Account,5,451,650,56,Self-employed,Salary,2.5,7.52,20,2,Refinance for Debt Consolidation,Owner,Apartment Low Rise,False,8.7,0.0
269077,Approved,Non Key Account,3,899,415,5,Hourly,Hourly,91.1,7.05,23,3,Refinance for Debt Consolidation,Rent To Own,Single,False,96.9,1.0
230025,Approved,Non Key Account,4,587,765,20,Contract,Commissions,66.4,8.69,6,2,Purchase,Owner,Apartment High Rise,False,71.1,0.0
389090,Approved,Key Account,3,793,791,19,Hourly,Pension,34.7,5.81,47,1,Refinance,Rent To Own,Apartment Low Rise,False,58.6,0.0
480952,Deactivated,Key Account,4,448,735,9,Hourly,Pension,72.6,7.72,23,3,Purchase Rent to Own,Rental,Apartment Low Rise,False,85.4,1.0
600931,Approved,Key Account,4,823,590,37,Salary,Hourly,42.1,8.24,58,2,Equity Takeout,Rental,Row,False,93.4,0.0
451308,Deactivated,Key Account,3,523,837,30,Self-employed,Contract,30.0,7.72,41,2,Purchase,Owner,Apartment Low Rise,False,36.5,0.0
831425,Approved,Non Key Account,5,633,476,12,Other,Pension,85.0,5.95,54,2,Refinance for Debt Consolidation,Rental,Semi-detached,False,99.2,0.0
1488264,Approved,Non Key Account,4,756,453,12,Other,Pension,24.8,6.2,47,1,Refinance for Debt Consolidation,Rental,Single,False,39.6,0.0
529510,Watch List,Key Account,4,557,589,13,Other,Pension,59.0,8.22,44,1,Purchase,Owner,Apartment Low Rise,False,80.6,1.0
474701,Deactivated,Key Account,4,429,748,51,Contract,Other,63.6,6.9,23,3,Equity Takeout,Rental,Apartment Low Rise,False,94.5,0.0
1264267,Approved,Key Account,4,842,654,24,Self-employed,Salary,14.5,5.21,77,3,Equity Takeout,Rental,Single,False,48.9,0.0
276409,Approved,Key Account,3,811,431,19,Self-employed,Contract,42.4,8.02,57,3,Equity Takeout,Rent To Own,Single,False,65.1,0.0
511365,Approved,Non Key Account,2,867,522,35,Hourly,Commissions,21.8,8.7,57,2,Equity Takeout,Owner,Apartment Low Rise,False,46.7,0.0
220830,Watch List,Key Account,5,687,564,2,Salary,Other,13.8,7.4,27,1,Purchase,Rent To Own,Apartment High Rise,False,77.7,0.0
296309,Approved,Non Key Account,2,763,892,22,Other,Pension,76.1,7.8,50,2,Equity Takeout,Rent To Own,Single,False,96.1,0.0
127154,Approved,Key Account,5,535,473,10,Other,Self-employed,32.8,8.29,5,1,Refinance,Rent To Own,Single,True,51.8,0.0
1053188,Watch List,Non Key Account,5,438,578,50,Contract,Contract,93.6,5.9,34,3,Purchase Rent to Own,Rental,Row,False,94.2,0.0
1397337,Approved,Key Account,5,859,690,56,Salary,Contract,77.2,6.75,25,1,Equity Takeout,Rental,Apartment Low Rise,False,92.2,0.0
1369647,Approved,Key Account,4,624,736,8,Other,Salary,53.7,5.57,65,1,Purchase,Rent To Own,Row,False,60.4,0.0
481047,Approved,Key Account,3,755,623,4,Salary,Contract,83.0,7.85,51,3,Refinance for Debt Consolidation,Rental,Single,False,97.1,0.0
133892,Approved,Non Key Account,2,610,742,15,Salary,Commissions,17.1,8.2,64,2,Refinance,Owner,Single,False,46.3,0.0
1454726,Approved,Non Key Account,3,470,632,37,Salary,Salary,96.1,7.76,64,3,Purchase Rent to Own,Rental,Single,False,99.2,0.0
123691,Approved,Non Key Account,2,847,621,21,Commissions,Salary,21.4,8.84,54,2,Refinance,Owner,Semi-detached,False,78.3,0.0
125042,Approved,Key Account,4,631,670,12,Pension,Self-employed,18.0,4.0,38,1,Refinance for Debt Consolidation,Owner,Apartment Low Rise,True,77.3,0.0
610794,Watch List,Non Key Account,5,524,851,48,Self-employed,Hourly,42.7,8.33,59,3,Purchase,Rental,Apartment Low Rise,False,71.9,0.0
758957,Approved,Key Account,2,455,734,9,Salary,Other,25.2,4.25,53,2,Purchase,Owner,Semi-detached,False,49.4,0.0
1161655,Approved,Non Key Account,4,664,729,47,Salary,Salary,94.9,7.31,16,1,Purchase Rent to Own,Rental,Semi-detached,False,96.2,0.0
144169,Approved,Key Account,5,565,549,32,Salary,Salary,60.4,7.61,33,2,Refinance for Debt Consolidation,Owner,Apartment High Rise,False,94.0,0.0
645735,Approved,Key Account,3,621,596,55,Hourly,Pension,33.1,8.16,60,1,Refinance,Owner,Semi-detached,False,39.5,0.0
342758,Approved,Non Key Account,4,551,633,14,Commissions,Commissions,51.6,7.26,23,2,Equity Takeout,Rent To Own,Row,False,59.1,0.0
1099448,Approved,Non Key Account,3,711,692,55,Salary,Pension,72.9,9.72,60,3,Refinance for Debt Consolidation,Rent To Own,Row,False,97.9,1.0
173763,Approved,Non Key Account,2,676,705,4,Salary,Self-employed,88.2,7.26,64,2,Refinance,Rent To Own,Row,True,90.1,0.0
1104809,Approved,Key Account,4,420,705,26,Hourly,Self-employed,56.0,8.55,22,1,Refinance for Debt Consolidation,Owner,Apartment High Rise,True,73.6,0.0
263839,Approved,Key Account,3,524,830,5,Self-employed,Salary,27.8,8.55,13,1,Equity Takeout,Rent To Own,Apartment Low Rise,False,75.1,1.0
1429079,Approved,Key Account,2,420,711,24,Other,Hourly,62.3,5.5,78,2,Purchase Rent to Own,Rent To Own,Apartment Low Rise,False,91.3,0.0
264325,Approved,Key Account,2,545,615,8,Commissions,Commissions,67.8,8.04,34,2,Refinance,Owner,Apartment Low Rise,False,70.8,1.0
421809,Approved,Non Key Account,3,744,644,56,Self-employed,Salary,32.0,5.42,18,1,Equity Takeout,Owner,Single,False,41.7,0.0
1233172,Watch List,Key Account,4,779,879,18,Other,Salary,78.9,5.5,9,3,Equity Takeout,Rent To Own,Apartment Low Rise,False,83.3,0.0
1499491,Approved,Non Key Account,3,628,718,57,Self-employed,Hourly,36.7,4.55,14,1,Equity Takeout,Owner,Apartment High Rise,False,95.1,0.0
115426,Deactivated,Non Key Account,4,586,803,14,Salary,Contract,94.7,5.61,52,1,Purchase Rent to Own,Rental,Single,False,100.0,0.0
370866,Watch List,Non Key Account,3,607,830,11,Self-employed,Other,79.8,9.07,53,2,Purchase,Rent To Own,Semi-detached,False,96.0,0.0
1180200,Approved,Key Account,4,469,826,40,Hourly,Self-employed,82.5,4.67,9,3,Refinance for Debt Consolidation,Owner,Apartment High Rise,True,96.5,1.0
1407422,Approved,Non Key Account,3,465,409,29,Hourly,Salary,80.8,4.59,41,1,Purchase,Owner,Apartment High Rise,False,86.2,0.0
348162,Watch List,Key Account,3,483,778,19,Pension,Other,8.5,6.79,40,1,Refinance for Debt Consolidation,Owner,Semi-detached,False,85.1,1.0
1367692,Deactivated,Key Account,2,653,451,14,Salary,Salary,61.9,9.01,78,3,Purchase Rent to Own,Owner,Row,False,83.5,1.0
194297,Approved,Non Key Account,4,423,674,26,Commissions,Salary,76.5,6.32,73,2,Refinance,Owner,Row,False,94.2,0.0
399306,Watch List,Non Key Account,3,707,542,31,Commissions,Commissions,32.4,5.24,51,1,Purchase Rent to Own,Rent To Own,Single,False,49.6,0.0
867492,Approved,Non Key Account,3,809,482,33,Commissions,Self-employed,62.0,9.24,20,1,Purchase Rent to Own,Rental,Row,True,76.2,0.0
1111674,Approved,Key Account,3,615,632,49,Contract,Self-employed,14.0,9.37,13,1,Equity Takeout,Rent To Own,Semi-detached,True,96.9,0.0
623016,Approved,Non Key Account,2,744,734,37,Commissions,Other,43.7,7.4,66,1,Purchase,Rental,Apartment High Rise,False,62.8,0.0
312338,Approved,Non Key Account,3,890,544,28,Contract,Hourly,46.5,6.57,70,3,Purchase Rent to Own,Rent To Own,Single,False,88.5,0.0
1216378,Watch List,Non Key Account,4,504,434,31,Salary,Contract,14.8,8.9,12,2,Refinance for Debt Consolidation,Owner,Row,False,39.4,1.0
992570,Approved,Non Key Account,3,449,779,0,Contract,Contract,12.9,8.17,57,1,Refinance,Rent To Own,Row,False,60.5,0.0
817617,Approved,Non Key Account,4,640,895,6,Hourly,Pension,34.0,9.4,63,2,Refinance for Debt Consolidation,Rent To Own,Semi-detached,False,37.1,1.0
828751,Approved,Key Account,4,628,601,7,Self-employed,Commissions,71.1,5.81,78,3,Refinance for Debt Consolidation,Rental,Apartment Low Rise,False,74.7,0.0
743001,Watch List,Non Key Account,5,590,402,60,Self-employed,Commissions,90.7,9.36,61,3,Purchase Rent to Own,Rental,Row,False,93.3,0.0
115817,Approved,Non Key Account,3,852,603,29,Commissions,Contract,17.2,7.11,60,2,Purchase Rent to Own,Rental,Row,False,33.8,0.0
295096,Approved,Non Key Account,3,625,430,40,Pension,Self-employed,36.3,6.26,18,2,Refinance,Rental,Single,True,70.4,0.0
481999,Deactivated,Non Key Account,4,685,515,59,Hourly,Salary,39.3,9.92,31,2,Refinance for Debt Consolidation,Rental,Row,False,42.6,0.0
390377,Approved,Non Key Account,3,552,543,27,Other,Commissions,85.1,9.09,26,3,Purchase,Owner,Semi-detached,False,99.8,0.0
1049506,Approved,Key Account,3,549,420,46,Hourly,Contract,0.1,6.13,15,1,Equity Takeout,Owner,Apartment High Rise,False,9.1,0.0
733364,Approved,Key Account,4,863,618,2,Self-employed,Pension,80.7,4.73,17,1,Purchase,Rent To Own,Row,False,82.5,0.0
636934,Approved,Non Key Account,4,485,746,32,Contract,Other,59.0,6.24,9,3,Equity Takeout,Rental,Apartment Low Rise,False,73.0,0.0
574562,Approved,Non Key Account,5,493,586,58,Other,Salary,32.6,5.88,65,3,Equity Takeout,Rental,Apartment High Rise,False,79.6,0.0
663830,Approved,Key Account,6,858,445,39,Hourly,Commissions,73.9,4.81,76,1,Purchase,Rental,Semi-detached,False,84.0,1.0
632478,Approved,Non Key Account,3,555,536,38,Commissions,Pension,56.2,5.8,66,1,Refinance for Debt Consolidation,Rent To Own,Semi-detached,False,57.4,0.0
868209,Watch List,Non Key Account,4,861,676,54,Self-employed,Contract,99.5,4.43,26,3,Purchase Rent to Own,Owner,Single,False,99.8,0.0
343225,Approved,Non Key Account,4,766,754,5,Salary,Self-employed,51.6,7.65,27,3,Refinance,Rental,Single,True,62.5,0.0
920375,Approved,Key Account,4,610,446,12,Self-employed,Hourly,99.7,7.22,56,3,Equity Takeout,Rental,Single,False,99.9,0.0
1059744,Approved,Non Key Account,5,406,567,9,Hourly,Self-employed,58.1,9.35,30,3,Equity Takeout,Rent To Own,Apartment High Rise,True,90.9,0.0
1282046,Approved,Non Key Account,3,486,776,51,Salary,Self-employed,57.2,6.36,31,1,Equity Takeout,Rental,Apartment High Rise,True,71.4,0.0
1000666,Watch List,Key Account,4,428,754,3,Commissions,Pension,58.9,7.75,23,3,Purchase Rent to Own,Rental,Apartment High Rise,False,97.2,0.0
373831,Approved,Key Account,3,724,735,24,Commissions,Pension,62.2,9.78,11,2,Purchase,Rental,Apartment Low Rise,False,97.5,1.0
1250257,Approved,Key Account,4,808,730,27,Hourly,Hourly,36.8,5.95,22,1,Equity Takeout,Rent To Own,Semi-detached,False,93.6,0.0
766151,Approved,Non Key Account,4,532,442,35,Pension,Commissions,10.1,8.24,75,3,Purchase,Owner,Apartment Low Rise,False,46.4,0.0
1248488,Approved,Key Account,4,476,767,60,Commissions,Hourly,11.9,8.95,40,3,Refinance,Owner,Apartment High Rise,False,91.7,0.0
272805,Approved,Key Account,3,750,592,30,Hourly,Pension,88.1,8.76,11,3,Purchase Rent to Own,Owner,Single,False,96.8,1.0
356887,Approved,Key Account,4,515,605,55,Salary,Salary,6.0,7.15,27,3,Equity Takeout,Rental,Row,False,77.7,0.0
710965,Approved,Key Account,3,747,442,54,Pension,Hourly,54.6,7.98,35,3,Purchase Rent to Own,Rental,Apartment Low Rise,False,61.9,0.0
822942,Approved,Non Key Account,5,446,531,50,Commissions,Contract,69.8,6.79,9,2,Refinance,Rental,Row,False,86.3,0.0
889106,Deactivated,Key Account,2,422,858,55,Contract,Commissions,82.7,4.17,40,1,Purchase Rent to Own,Owner,Apartment Low Rise,False,87.7,0.0
934932,Deactivated,Non Key Account,2,730,742,53,Other,Other,83.9,9.52,38,3,Equity Takeout,Rental,Single,False,98.6,0.0
422571,Approved,Non Key Account,5,743,493,41,Self-employed,Hourly,56.3,8.93,67,1,Purchase Rent to Own,Rent To Own,Row,False,65.6,0.0
610548,Approved,Key Account,3,602,695,38,Other,Pension,83.7,7.19,75,2,Purchase Rent to Own,Owner,Single,False,87.2,0.0
866477,Approved,Non Key Account,5,808,548,40,Pension,Hourly,58.8,8.53,79,2,Refinance for Debt Consolidation,Rental,Semi-detached,False,66.7,1.0
806622,Watch List,Key Account,4,601,543,15,Commissions,Pension,79.0,8.55,80,2,Purchase,Owner,Semi-detached,False,82.6,1.0
1243497,Watch List,Non Key Account,4,448,654,0,Other,Salary,36.2,4.88,60,1,Refinance for Debt Consolidation,Owner,Apartment High Rise,False,93.5,0.0
1492948,Approved,Key Account,2,539,777,35,Other,Contract,16.7,5.41,80,1,Purchase,Rent To Own,Semi-detached,False,64.3,0.0
759956,Watch List,Key Account,4,809,465,0,Self-employed,Other,39.4,7.96,43,2,Refinance for Debt Consolidation,Owner,Row,False,56.4,1.0
579373,Deactivated,Key Account,2,800,782,30,Contract,Other,9.1,6.92,54,2,Equity Takeout,Owner,Row,False,33.1,1.0
912276,Deactivated,Non Key Account,3,761,807,20,Contract,Contract,54.4,8.28,14,3,Purchase,Rent To Own,Apartment High Rise,False,58.1,0.0
110009,Approved,Non Key Account,2,673,671,0,Contract,Other,69.5,7.57,72,3,Purchase Rent to Own,Owner,Row,False,72.1,1.0
536114,Deactivated,Key Account,3,893,406,27,Commissions,Other,19.3,4.07,79,2,Purchase,Owner,Semi-detached,False,65.1,0.0
1489150,Approved,Key Account,3,442,496,32,Pension,Pension,34.2,9.74,67,1,Refinance,Rental,Apartment High Rise,False,67.6,1.0
726073,Approved,Non Key Account,4,591,657,32,Commissions,Hourly,53.3,8.05,19,1,Refinance for Debt Consolidation,Owner,Semi-detached,False,89.2,1.0
737071,Watch List,Non Key Account,4,699,776,15,Other,Salary,35.5,6.1,61,2,Refinance for Debt Consolidation,Rent To Own,Row,False,91.9,0.0
422171,Watch List,Key Account,5,532,713,14,Self-employed,Commissions,83.3,4.49,12,1,Purchase,Rent To Own,Single,False,98.2,0.0
206488,Approved,Key Account,3,762,646,14,Self-employed,Salary,14.1,9.95,41,3,Equity Takeout,Rent To Own,Semi-detached,False,36.5,0.0
422756,Approved,Non Key Account,2,608,785,3,Salary,Self-employed,69.8,5.55,18,2,Purchase Rent to Own,Rent To Own,Apartment Low Rise,True,83.7,0.0
747755,Watch List,Key Account,3,735,441,42,Other,Commissions,38.7,6.4,75,2,Purchase,Rent To Own,Single,False,55.6,0.0
728518,Watch List,Key Account,2,480,495,45,Other,Self-employed,91.4,9.69,41,3,Purchase Rent to Own,Rental,Row,True,92.4,1.0
177734,Watch List,Key Account,3,562,555,1,Contract,Commissions,56.8,5.23,50,2,Purchase,Owner,Single,False,68.6,0.0
1369778,Approved,Non Key Account,4,606,416,56,Self-employed,Hourly,26.0,4.54,41,3,Equity Takeout,Owner,Semi-detached,False,92.1,0.0
678157,Watch List,Non Key Account,4,488,554,5,Pension,Pension,12.4,3.99,31,1,Equity Takeout,Rental,Single,False,88.4,0.0
924460,Watch List,Key Account,4,624,521,36,Commissions,Salary,57.2,4.69,10,3,Purchase,Rental,Semi-detached,False,67.4,0.0
1177701,Approved,Non Key Account,4,581,755,19,Contract,Pension,4.1,9.77,53,3,Refinance for Debt Consolidation,Rent To Own,Single,False,66.1,1.0
1236811,Approved,Key Account,3,564,713,11,Self-employed,Commissions,69.6,7.63,26,2,Equity Takeout,Owner,Row,False,73.1,0.0
1321284,Approved,Key Account,4,900,714,0,Hourly,Contract,63.8,5.36,20,1,Purchase Rent to Own,Owner,Row,False,83.5,1.0
320985,Approved,Non Key Account,2,791,878,34,Hourly,Hourly,66.5,4.32,26,1,Purchase Rent to Own,Rental,Apartment Low Rise,False,75.3,0.0
222484,Watch List,Non Key Account,3,571,507,54,Commissions,Self-employed,13.4,4.56,34,3,Equity Takeout,Rental,Semi-detached,True,35.9,0.0
1037520,Deactivated,Non Key Account,3,567,473,11,Hourly,Commissions,36.5,8.44,65,1,Purchase Rent to Own,Rent To Own,Semi-detached,False,73.8,1.0
162442,Deactivated,Non Key Account,5,872,564,33,Commissions,Hourly,29.2,7.45,68,2,Purchase,Rent To Own,Single,False,97.5,0.0
807191,Watch List,Non Key Account,3,489,612,2,Hourly,Contract,5.1,4.48,40,3,Refinance,Rental,Single,False,89.2,0.0
1232316,Approved,Non Key Account,2,470,876,38,Other,Self-employed,35.3,5.91,79,2,Refinance for Debt Consolidation,Owner,Semi-detached,True,73.2,0.0
1452991,Approved,Non Key Account,5,402,818,58,Commissions,Hourly,76.5,6.04,33,2,Refinance for Debt Consolidation,Owner,Apartment Low Rise,False,89.4,1.0
216894,Approved,Key Account,3,769,488,11,Other,Other,68.4,4.5,67,3,Refinance,Rental,Apartment Low Rise,False,78.3,0.0
598454,Approved,Key Account,4,717,740,57,Hourly,Commissions,90.8,7.31,57,1,Equity Takeout,Owner,Semi-detached,False,92.6,0.0
1244336,Approved,Non Key Account,4,700,869,56,Salary,Commissions,49.7,5.62,72,1,Purchase,Rent To Own,Apartment High Rise,False,75.9,0.0
695214,Watch List,Non Key Account,2,762,499,60,Hourly,Pension,93.4,9.38,41,2,Refinance for Debt Consolidation,Owner,Apartment High Rise,False,96.6,0.0
150391,Approved,Key Account,3,554,481,41,Commissions,Self-employed,61.6,4.97,24,2,Purchase,Owner,Apartment Low Rise,True,78.3,0.0
1484781,Approved,Key Account,4,570,566,29,Commissions,Salary,33.6,6.32,73,3,Purchase Rent to Own,Rental,Semi-detached,False,82.3,0.0
1153881,Approved,Key Account,3,743,776,47,Pension,Self-employed,23.8,8.54,32,1,Equity Takeout,Owner,Apartment High Rise,True,61.6,0.0
433722,Deactivated,Non Key Account,2,601,646,30,Commissions,Pension,20.4,6.36,11,3,Refinance for Debt Consolidation,Rental,Single,False,37.4,0.0
851323,Approved,Key Account,5,499,645,28,Self-employed,Hourly,74.4,4.07,43,1,Refinance,Rental,Apartment High Rise,False,92.3,0.0
416722,Approved,Non Key Account,3,534,438,22,Self-employed,Other,80.9,6.17,75,2,Refinance for Debt Consolidation,Rental,Single,False,84.1,0.0
310309,Approved,Non Key Account,6,774,470,12,Hourly,Self-employed,73.9,4.73,38,2,Equity Takeout,Rent To Own,Apartment Low Rise,True,85.0,0.0
491803,Watch List,Key Account,3,855,832,50,Contract,Hourly,74.6,9.89,25,1,Refinance,Rent To Own,Apartment Low Rise,False,99.0,1.0
980030,Approved,Key Account,2,581,886,49,Commissions,Commissions,26.4,8.36,68,1,Refinance,Rental,Single,False,69.4,1.0
1034078,Approved,Non Key Account,4,430,665,38,Salary,Other,38.1,6.7,37,1,Refinance,Rental,Apartment High Rise,False,44.6,0.0
209632,Watch List,Non Key Account,1,734,555,22,Hourly,Pension,69.3,7.63,69,1,Equity Takeout,Rental,Single,False,75.8,0.0
1120943,Deactivated,Key Account,3,783,548,8,Other,Salary,5.1,4.75,37,2,Equity Takeout,Owner,Apartment High Rise,False,17.2,0.0
446422,Approved,Key Account,4,753,511,34,Other,Self-employed,55.7,4.76,46,3,Equity Takeout,Owner,Apartment Low Rise,True,94.0,0.0
129080,Approved,Key Account,3,663,438,37,Contract,Pension,95.5,8.25,58,3,Refinance,Rental,Apartment High Rise,False,96.3,1.0
1211164,Approved,Non Key Account,3,895,855,29,Other,Hourly,91.3,4.83,49,2,Refinance for Debt Consolidation,Owner,Apartment High Rise,False,94.7,0.0
682971,Deactivated,Non Key Account,5,418,706,40,Hourly,Pension,79.8,8.34,39,1,Purchase,Rental,Apartment High Rise,False,94.5,0.0
1461376,Approved,Key Account,3,449,541,28,Hourly,Other,1.2,9.42,60,3,Refinance for Debt Consolidation,Rental,Apartment High Rise,False,39.8,1.0
1441078,Deactivated,Non Key Account,5,493,753,10,Self-employed,Other,32.2,9.3,43,2,Purchase,Owner,Apartment Low Rise,False,89.6,0.0
1259112,Approved,Non Key Account,3,541,412,15,Contract,Commissions,73.4,6.46,11,1,Refinance,Owner,Apartment High Rise,False,78.8,1.0
1109100,Approved,Key Account,5,639,488,12,Other,Contract,35.6,6.18,11,1,Purchase,Rental,Apartment Low Rise,False,88.5,0.0
970485,Approved,Key Account,5,777,687,6,Other,Other,34.7,9.65,44,3,Refinance for Debt Consolidation,Owner,Row,False,37.9,1.0
1003702,Approved,Key Account,4,711,413,15,Hourly,Commissions,13.1,9.58,34,1,Purchase,Rent To Own,Apartment High Rise,False,71.7,0.0
412507,Approved,Non Key Account,5,563,722,11,Other,Commissions,81.0,8.9,79,2,Refinance for Debt Consolidation,Rental,Row,False,81.4,0.0
163387,Approved,Key Account,2,561,457,33,Contract,Commissions,49.1,7.43,11,3,Purchase Rent to Own,Owner,Apartment High Rise,False,68.7,1.0
310547,Approved,Non Key Account,2,473,566,44,Hourly,Commissions,62.3,7.12,56,1,Refinance for Debt Consolidation,Rent To Own,Apartment Low Rise,False,63.8,0.0
108331,Approved,Key Account,3,709,871,58,Other,Contract,42.7,4.73,78,3,Refinance,Owner,Semi-detached,False,68.5,0.0
578057,Watch List,Non Key Account,4,849,596,45,Pension,Salary,54.4,8.03,67,3,Refinance for Debt Consolidation,Rent To Own,Semi-detached,False,91.8,0.0
1115354,Approved,Non Key Account,3,571,449,54,Hourly,Pension,74.3,6.25,77,3,Equity Takeout,Rental,Apartment Low Rise,False,92.4,0.0
229793,Watch List,Key Account,4,871,857,47,Salary,Contract,80.3,8.19,20,1,Refinance for Debt Consolidation,Rent To Own,Single,False,95.9,1.0
1209145,Approved,Non Key Account,4,563,733,48,Hourly,Pension,90.9,5.71,28,1,Refinance,Owner,Apartment High Rise,False,99.4,0.0
1200489,Approved,Key Account,4,503,689,9,Contract,Hourly,31.7,4.89,76,1,Equity Takeout,Rent To Own,Row,False,36.8,0.0
1122334,Approved,Non Key Account,3,401,441,43,Salary,Other,30.6,4.15,17,1,Purchase Rent to Own,Rental,Semi-detached,False,60.1,0.0
782154,Approved,Key Account,3,664,706,26,Commissions,Self-employed,14.4,5.66,37,2,Refinance for Debt Consolidation,Owner,Apartment High Rise,True,15.3,0.0
1175364,Approved,Key Account,2,880,423,15,Self-employed,Contract,58.1,9.59,27,3,Purchase Rent to Own,Owner,Apartment Low Rise,False,83.2,0.0
793660,Approved,Key Account,3,560,779,9,Pension,Commissions,88.2,6.62,80,1,Refinance,Owner,Semi-detached,False,97.5,0.0
1036834,Approved,Non Key Account,3,826,669,60,Contract,Salary,20.8,3.99,44,2,Purchase Rent to Own,Rent To Own,Apartment High Rise,False,38.8,0.0
1243999,Approved,Key Account,4,492,845,19,Pension,Salary,93.5,8.7,76,1,Purchase Rent to Own,Owner,Semi-detached,False,93.9,0.0
995285,Approved,Key Account,3,762,612,35,Commissions,Other,6.7,8.89,69,1,Purchase Rent to Own,Owner,Semi-detached,False,23.7,1.0
1493148,Watch List,Non Key Account,3,427,605,21,Other,Salary,76.1,4.47,5,2,Equity Takeout,Rent To Own,Semi-detached,False,78.7,0.0
687540,Approved,Non Key Account,3,658,406,5,Hourly,Pension,1.8,8.24,13,3,Purchase Rent to Own,Rental,Single,False,2.5,1.0
108562,Approved,Non Key Account,3,872,482,8,Commissions,Self-employed,9.0,5.06,75,3,Refinance,Rent To Own,Apartment High Rise,True,62.9,0.0
1354476,Approved,Non Key Account,2,403,617,20,Hourly,Self-employed,44.1,6.58,33,2,Purchase,Rental,Apartment High Rise,True,78.9,0.0
277281,Approved,Non Key Account,4,512,619,4,Contract,Pension,28.5,8.44,6,3,Purchase,Rent To Own,Single,False,58.4,0.0
334773,Approved,Non Key Account,4,843,468,27,Other,Self-employed,33.2,6.71,21,2,Refinance for Debt Consolidation,Owner,Single,True,67.8,0.0
1388916,Approved,Non Key Account,4,743,669,45,Other,Pension,89.0,6.57,10,1,Refinance for Debt Consolidation,Owner,Semi-detached,False,94.6,0.0
647059,Approved,Key Account,5,422,657,51,Salary,Other,7.1,7.22,43,1,Purchase Rent to Own,Rent To Own,Single,False,38.6,0.0
538511,Approved,Key Account,5,505,671,34,Other,Other,91.3,6.77,22,3,Refinance for Debt Consolidation,Owner,Semi-detached,False,98.9,1.0
1172093,Approved,Key Account,2,589,582,39,Hourly,Contract,77.8,5.85,30,1,Purchase Rent to Own,Rent To Own,Apartment High Rise,False,86.0,0.0
